课程名称,课程类别,讲师,课程级别,学习人数,评分,价格,用时,课程链接
部署落地+业务迁移 玩转k8s进阶与企业级实践技能,后端开发,刘果国,高级,202,100%,"
								￥366.00
							",16小时,https://coding.imooc.com//class/335.html
从零起步 系统入门Python爬虫工程师,后端开发,bobby,中级,266,100%,"
								￥399.00
							",23小时35分钟,https://coding.imooc.com//class/325.html
Python服务端工程师就业面试指导,后端开发,PegasusWang,中级,257,100%,"
								￥288.00
							",12小时25分钟,https://coding.imooc.com//class/318.html
GO从0到1实战微服务版抢红包系统,后端开发,枫荇,中级,95,100%,"
								￥348.00
							",14小时30分钟,https://coding.imooc.com//class/345.html
Google老师亲授 TensorFlow2.0 入门到进阶,后端开发,正十七_卢云,中级,9,100%,"
									原价￥399.00
								",16小时,https://coding.imooc.com//class/344.html
PHP开发晋升课程 BAT资深工程师解析Tp5+Tp6底层源码,后端开发,singwa,中级,167,100%,"
								￥399.00
							",15小时20分钟,https://coding.imooc.com//class/331.html
跳槽及毕设Django高级实战教程 企业级问答网站开发,后端开发,Jack,高级,127,100%,"
								￥388.00
							",19小时,https://coding.imooc.com//class/333.html
新一代大数据计算引擎  Flink从入门到实战,后端开发,Michael__PK,入门,219,96%,"
								￥388.00
							",16小时,https://coding.imooc.com//class/322.html
XSS跨站漏洞 加强Web安全,后端开发,idaxia,初级,143,100%,"
								￥128.00
							", 5小时30分钟,https://coding.imooc.com//class/242.html
Java并发编程入门与高并发面试,后端开发,Jimin,初级,3176,97%,"
								￥299.00
							",12小时30分钟,https://coding.imooc.com//class/195.html
看的见的算法 7个经典应用诠释算法精髓,后端开发,liuyubobobo,中级,1087,100%,"
								￥248.00
							",17小时,https://coding.imooc.com//class/138.html
Java生产环境下性能监控与调优详解,后端开发,若鱼1919,中级,1216,98%,"
								￥188.00
							", 7小时15分钟,https://coding.imooc.com//class/241.html
Socket网络编程进阶与实战,后端开发,Qiujuer,中级,1211,99%,"
								￥348.00
							",21小时,https://coding.imooc.com//class/286.html
中小型企业通用自动化运维架构,后端开发,七寸法师,中级,327,93%,"
								￥199.00
							", 8小时30分钟,https://coding.imooc.com//class/239.html
Thinkphp5.0仿百度糯米开发多商家电商平台,后端开发,singwa,中级,2178,97%,"
								￥189.00
							",16小时,https://coding.imooc.com//class/85.html
PHP秒杀系统  高并发高性能的极致挑战,后端开发,一凡Sir,高级,499,87%,"
								￥348.00
							",17小时,https://coding.imooc.com//class/148.html
从原理到场景 系统讲解PHP缓存技术,后端开发,WiconWang,中级,239,91%,"
								￥188.00
							", 8小时,https://coding.imooc.com//class/216.html
Go语言开发分布式任务调度 轻松搞定高性能Crontab ,后端开发,小鱼儿老师,中级,459,100%,"
								￥299.00
							",13小时,https://coding.imooc.com//class/281.html
Python爬虫工程师必学 App数据抓取实战,后端开发,大壮老师,中级,536,97%,"
								￥299.00
							",13小时,https://coding.imooc.com//class/283.html
Django2.0+小程序技术打造微信小程序助手,后端开发,咚咚呛,中级,335,99%,"
								￥266.00
							",13小时,https://coding.imooc.com//class/311.html
手把手教你把Python应用到实际开发 不再空谈语法,后端开发,NavCat,初级,568,98%,"
								￥166.00
							", 8小时,https://coding.imooc.com//class/240.html
Python Flask高级编程,后端开发,7七月,中级,1418,99%,"
								￥399.00
							",19小时38分钟,https://coding.imooc.com//class/194.html
360大牛带你横扫PHP职场 全面解读PHP面试,后端开发,Jason李捷,中级,1439,98%,"
								￥266.00
							",14小时30分钟,https://coding.imooc.com//class/133.html
 Python Flask高级编程(下篇),后端开发,7七月,中级,906,100%,"
								￥148.00
							", 6小时25分钟,https://coding.imooc.com//class/220.html
微信服务号+Yii2.0构建商城系统全栈应用,后端开发,编程浪子,中级,670,98%,"
								￥248.00
							",18小时30分钟,https://coding.imooc.com//class/102.html
